Date,Open,High,Low,Close,Volume
2024-05-30,52.34,52.69,51.2,52.08,1668613
2024-05-31,52.08,52.08,51.2,51.2,1492986
2024-06-03,51.81,52.78,51.55,52.16,1129204
2024-06-04,52.43,54.18,52.25,53.92,2339781
2024-06-05,54.45,57.61,54.27,57.61,2901042
2024-06-06,58.4,60.16,57.26,57.52,2273096
2024-06-07,57.61,60.95,57.61,59.63,2580958
2024-06-10,60.24,60.24,58.75,59.45,2029091
2024-06-11,59.45,59.89,58.57,59.37,1732213
2024-06-12,59.37,59.37,58.31,58.84,1707976
2024-06-13,59.1,59.1,57.52,57.61,1818241
2024-06-14,56.91,57.17,54.97,55.68,3856141
2024-06-17,55.68,56.55,54.97,55.85,1937986
2024-06-18,56.03,56.2,55.5,55.85,739771
2024-06-19,55.85,56.12,54.27,54.45,1466010
2024-06-20,54.71,55.15,53.22,54.54,949225
2024-06-21,54.97,55.15,54.01,54.01,961163
2024-06-24,54.54,55.24,53.31,54.01,950847
2024-06-25,54.01,54.27,52.08,53.22,1151267
2024-06-26,53.22,53.39,52.52,52.69,848970
2024-06-27,53.04,54.18,52.6,53.22,1076865
2024-06-28,53.57,53.83,52.69,52.69,948163
2024-07-01,53.22,53.48,52.87,53.48,279436
2024-07-02,53.57,53.74,53.31,53.74,425339
2024-07-03,53.83,54.01,53.57,54.01,450660
2024-07-04,54.54,54.54,53.57,53.57,680572
2024-07-05,54.02,54.11,52.66,52.66,1114172
2024-07-08,52.66,52.66,50.57,51.21,1319623
2024-07-09,51.3,53.12,50.57,52.03,1503849
2024-07-10,52.12,52.3,51.21,51.21,585180
2024-07-11,51.66,51.66,51.03,51.12,561841
2024-07-12,51.3,51.3,50.57,50.85,481863
2024-07-15,51.21,51.21,50.57,50.66,403189
2024-07-16,50.66,50.94,50.48,50.66,889460
2024-07-17,50.66,50.94,48.76,49.03,1129315
2024-07-18,49.21,50.39,48.58,49.3,1204348
2024-07-19,49.3,50.21,49.3,50.12,729070
2024-07-22,50.12,51.3,49.67,50.57,991338
2024-07-23,50.57,50.57,49.67,49.67,440069
2024-07-24,49.85,49.85,48.94,49.57,383745
2024-07-25,49.85,49.85,48.76,49.03,416835
2024-07-26,49.67,50.57,49.48,49.94,1302739
2024-07-29,50.39,50.48,49.85,49.85,427869
2024-07-30,49.67,50.39,49.67,49.76,714980
2024-07-31,49.76,50.48,49.67,50.3,926790
2024-08-01,50.66,52.21,49.94,49.94,1287112
2024-08-02,49.94,50.3,49.48,50.03,597713
2024-08-05,49.67,49.85,47.21,47.21,1610509
2024-08-06,47.94,49.03,47.3,48.39,739511
2024-08-07,48.94,48.94,47.85,48.03,704520
2024-08-08,48.12,48.85,47.94,47.94,892690
2024-08-09,48.49,49.21,48.39,48.67,471196
2024-08-12,48.85,49.39,48.49,49.03,543216
2024-08-13,49.48,49.76,48.85,49.3,733098
2024-08-14,49.39,51.48,49.3,50.57,1650379
2024-08-15,50.66,51.3,50.57,50.57,900634
2024-08-16,50.48,51.3,50.39,51.12,947192
2024-08-19,51.12,52.48,50.94,52.48,1179493
2024-08-20,52.48,53.12,52.03,52.66,971449
2024-08-21,52.66,52.66,51.94,52.12,778118
2024-08-22,52.3,52.48,51.39,51.75,787152
2024-08-23,51.39,52.21,51.39,51.66,651830
2024-08-26,51.66,52.39,51.48,51.48,579282
2024-08-27,51.48,52.12,51.48,51.75,693562
2024-08-28,51.84,52.75,51.75,52.12,998976
2024-08-29,52.12,52.84,52.12,52.12,825079
2024-08-30,52.39,53.12,52.12,52.21,1405777
2024-09-04,51.94,52.39,51.75,51.94,698805
2024-09-05,52.03,52.84,51.48,51.75,824912
2024-09-06,51.75,52.03,51.48,51.48,454555
2024-09-09,51.48,51.66,50.48,51.03,1130284
2024-09-10,51.39,51.66,50.21,50.21,1290342
2024-09-11,50.57,50.57,49.94,50.3,650046
2024-09-12,51.21,51.3,50.21,50.3,626039
2024-09-13,50.39,51.12,50.39,50.94,538500
2024-09-16,50.57,51.21,50.57,50.66,567335
2024-09-17,50.57,51.3,50.57,51.3,361624
2024-09-18,51.3,51.39,50.94,50.94,467194
2024-09-19,51.12,51.48,51.03,51.3,359188
2024-09-20,51.57,52.12,51.3,52.12,946980
2024-09-23,52.21,52.48,51.84,52.12,647059
2024-09-24,52.39,52.48,51.94,52.21,598950
2024-09-25,52.21,52.39,52.03,52.12,337827
2024-09-26,52.21,53.12,52.21,52.75,1092122
2024-09-27,52.93,53.39,52.57,53.12,794975
2024-09-30,53.39,53.39,52.39,52.48,551979
2024-10-01,52.66,52.66,52.3,52.48,559796
2024-10-02,52.48,52.48,51.57,51.66,635976
2024-10-03,51.94,52.39,51.57,51.57,606980
2024-10-04,51.57,51.75,51.39,51.39,381631
2024-10-07,51.39,51.84,51.3,51.48,415370
2024-10-08,51.48,51.66,50.94,51.12,515238
2024-10-09,51.21,51.39,50.76,51.21,614267
2024-10-10,51.39,52.57,51.3,52.39,686131
2024-10-11,52.57,52.84,52.12,52.21,379916
2024-10-14,52.3,52.39,51.84,51.94,335870
2024-10-15,51.94,52.84,51.84,51.84,643033
2024-10-16,51.84,52.48,51.84,52.48,532258
2024-10-17,52.66,52.66,51.66,52.03,295177
2024-10-18,52.21,52.75,52.03,52.12,245623
2024-10-21,52.12,52.3,51.3,51.39,646129
2024-10-22,51.21,51.3,50.76,50.85,646802
2024-10-23,50.85,51.3,50.48,50.85,369549
2024-10-24,50.85,50.85,50.57,50.76,228441
2024-10-25,50.76,50.85,50.12,50.39,449639
2024-10-28,50.48,50.48,50.21,50.39,239241
2024-10-29,50.39,50.57,50.12,50.3,258706
2024-10-30,50.39,50.57,50.03,50.12,357569
2024-10-31,50.21,51.03,50.12,50.12,486669
2024-11-01,50.48,50.94,50.21,50.21,437469
2024-11-04,50.76,50.94,50.39,50.39,457210
2024-11-05,50.76,50.94,50.3,50.39,271783
2024-11-06,50.57,50.85,50.39,50.66,391840
2024-11-07,50.85,50.94,50.48,50.48,294992
2024-11-08,50.57,50.76,50.12,50.12,516840
2024-11-11,50.21,50.66,50.12,50.21,446755
2024-11-12,50.3,52.12,50.3,51.39,1042873
2024-11-13,51.48,51.75,51.12,51.57,314754
2024-11-14,51.57,51.57,50.85,50.94,298923
2024-11-15,50.85,50.94,50.39,50.39,386405
2024-11-18,51.12,51.12,50.21,50.39,471821
2024-11-19,50.85,50.85,49.94,49.94,497799
2024-11-20,49.67,50.39,49.67,50.39,414956
2024-11-21,50.48,50.48,50.03,50.21,243542
2024-11-22,50.21,50.85,50.21,50.3,382698
2024-11-25,50.76,50.85,50.39,50.39,389157
2024-11-26,50.48,51.12,50.48,50.94,718632
2024-11-27,50.94,51.39,50.94,50.94,433356
2024-11-28,51.21,51.3,50.39,50.39,342689
2024-11-29,50.39,50.94,50.12,50.94,436443
2024-12-02,51.03,51.66,50.85,51.03,355817
2024-12-03,51.03,51.12,50.66,51.03,374807
2024-12-04,51.03,52.66,50.85,52.12,1382180
2024-12-05,52.3,52.66,51.66,52.21,677051
2024-12-06,52.39,53.12,52.03,52.39,1070661
2024-12-09,52.39,52.57,51.94,52.21,462824
2024-12-10,52.21,52.93,52.12,52.75,735884
2024-12-11,52.84,53.03,52.3,52.3,817854
2024-12-12,52.3,52.75,52.21,52.21,507667
2024-12-13,52.21,52.39,51.94,52.12,462050
2024-12-16,52.12,52.3,51.94,52.03,206963
2024-12-17,52.21,52.3,51.75,52.03,340000
2024-12-18,52.03,52.3,52.03,52.12,270169
2024-12-19,51.75,52.03,51.21,51.66,770702
2024-12-20,51.66,51.84,51.21,51.3,778955
2024-12-23,51.75,52.75,51.48,51.94,588678
2024-12-24,52.03,52.21,51.75,51.94,511338
2024-12-25,52.21,52.48,51.94,52.12,845934
2024-12-26,51.93,52.68,51.93,52.4,867303
2024-12-27,52.49,52.49,51.83,52.49,633109
2024-12-30,52.4,52.77,51.93,52.77,479261
2024-12-31,52.59,52.59,52.21,52.21,366340
2025-01-02,52.49,52.49,51.83,52.3,359447
2025-01-03,52.3,52.4,51.74,51.74,367540
2025-01-06,51.64,52.4,50.42,50.42,942417
2025-01-07,50.52,50.99,50.52,50.52,403696
2025-01-08,50.52,50.7,50.42,50.52,496812
2025-01-09,50.52,50.8,50.33,50.42,411589
2025-01-10,50.42,50.8,50.42,50.42,475785
2025-01-13,50.23,51.17,50.14,50.89,462553
2025-01-14,50.8,51.27,50.8,51.27,329356
2025-01-15,51.74,51.74,51.17,51.74,331944
2025-01-16,51.55,52.11,50.61,50.8,572692
2025-01-17,50.7,51.74,50.05,50.23,638356
2025-01-20,50.42,50.99,50.42,50.89,200734
2025-01-21,51.17,51.17,50.33,50.42,258460
2025-01-22,50.7,50.89,50.42,50.52,201578
2025-01-23,50.8,50.89,50.42,50.8,235547
2025-01-24,50.52,50.89,50.52,50.61,303212
2025-02-03,50.42,50.61,49.48,49.57,599809
2025-02-04,49.67,49.86,49.29,49.57,438773
2025-02-05,49.67,49.95,49.57,49.95,270329
2025-02-06,50.05,50.05,49.57,49.57,353492
2025-02-07,49.57,49.67,49.2,49.29,768918
2025-02-10,49.1,49.29,48.92,49.1,645306
2025-02-11,49.01,49.1,48.45,48.54,748820
2025-02-12,48.63,48.92,48.63,48.82,90829
2025-02-13,48.82,48.92,48.63,48.63,275121
2025-02-14,49.29,49.29,48.45,48.54,669129
2025-02-17,48.45,48.54,47.98,48.07,1116717
2025-02-18,48.07,48.45,47.98,48.16,489998
2025-02-19,48.16,48.35,48.07,48.26,871238
2025-02-20,48.45,48.54,48.26,48.35,580621
2025-02-21,48.54,49.1,48.35,48.73,752662
2025-02-24,48.73,49.29,48.73,49.29,714423
2025-02-25,50.33,50.33,49.01,49.29,484840
2025-02-26,49.39,49.39,48.92,49.1,648180
2025-02-27,49.1,49.2,48.73,49.1,457504
2025-02-28,48.92,49.2,48.45,48.45,929250
